date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:36	116/116	---MC-	200	added ('OK')	text/plain	date:Fri,%2013%20Oct%202023%2012:41:34%20GMT	https://anymoney.online/robots.txt		(from )
09:41:36	5093/5093	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Oct%202023%2000:05:05%20GMT	https://anymoney.online/	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/anymoney.online/index.html	(from )
09:41:37	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Oct%202023%2012:41:36%20GMT	https://cdnjs.cloudflare.com/ajax/libs/js-cookie/3.6.0/js.cookie.min.js	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/cdnjs.cloudflare.com/ajax/libs/js-cookie/3.6.0/js.cookie.min.0.delayed	(from https://anymoney.online/)
09:41:38	11642/11642	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2012:41:37%20GMT	https://kit.fontawesome.com/ac1a213ded.js	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/kit.fontawesome.com/ac1a213ded.js	(from https://anymoney.online/)
09:41:38	2349/2349	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Sep%202023%2014:02:16%20GMT	https://anymoney.online/styles.css	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/anymoney.online/styles.css	(from https://anymoney.online/)
09:41:38	9804/9804	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202023%2013:59:14%20GMT	https://anymoney.online/background.jpg	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/anymoney.online/background.jpg	(from https://anymoney.online/)
09:41:39	106812/106812	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Sep%202023%2013:59:14%20GMT	https://anymoney.online/logo.png	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/anymoney.online/logo.png	(from https://anymoney.online/)
09:41:39	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/duard/Downloads/GERADOR%20FRUIT%20CASH%20BRABO/KKKKKKKKKKKKKKK/code.jquery.com/jquery-3.6.0.min.js	(from https://anymoney.online/)
